,Title,Author,Release date,Price $
1224,The Chimp Paradox,Dr. Steve Peters,06-18-13,16
1225,Immunity to Change,Robert Kegan,09-06-16,27
1226,On Fire,John O'Leary,03-15-16,14
1227,Play Bigger,Play Bigger LLC,06-14-16,19
1228,Win Every Argument,Mehdi Hasan,02-28-23,19
1229,When Genius Failed,Roger Lowenstein,08-27-01,14
1230,Sprint,Jake Knapp,03-08-16,14
1231,The Song of Significance,Seth Godin,05-30-23,24
1232,Rich Dad Advisors: Run Your Own Corporation,Garrett Sutton,05-21-13,23
1233,Competing Against Luck,Clayton M. Christensen,10-04-16,25
1234,Hit Refresh,Satya Nadella,09-26-17,25
1235,Integrity,Henry Cloud,02-15-06,21
1236,The Leader Who Had No Title,Robin Sharma,03-23-10,17
1237,The Power of One More,Ed Mylett,07-05-22,17
1238,Palo Alto,Malcolm Harris,02-14-23,51
1239,The Signal and the Noise,Nate Silver,09-27-12,16
1240,Deep Work,Cal Newport,07-26-16,19
1241,Power and Prediction,Ajay Agrawal,11-15-22,15
1242,Do It! Selling,David Newman,05-02-23,20
1243,Pitch Perfect,Bill McGowan,04-01-14,24
1244,Process!,Mike Paton,11-08-22,12
1245,Unscripted,James B. Stewart,02-14-23,35
1246,The Anxious Achiever,Morra Aarons-Mele,04-11-23,17
1247,Traffic,Ben Smith,05-02-23,32
1248,Good Profit,Charles G. Koch,10-13-15,18
1249,Drop the Ball,Tiffany Dufu,02-14-17,21
1250,"Hardwiring Excellence: Purpose, Worthwhile Work, Making a Difference",Quint Studer,09-11-12,16
1251,Third Circle Theory,Pejman Ghadimi,05-10-13,17
1252,The Secret Thoughts of Successful Women,Valerie Young,03-28-17,24
1253,Misbehaving,Richard H. Thaler,05-18-15,22
1254,TED Talks,Chris Anderson,05-03-16,22
1255,Organize Tomorrow Today,Jason Selk,12-27-16,25
1256,What's Your Story?: Using Stories to Ignite Performance and Be More Successful,Craig Wortmann,05-14-12,13
1257,Be Our Guest,The Disney Institute,05-05-15,20
1258,Scrum,Jeff Sutherland,09-30-14,24
1259,Eleven Rings,Phil Jackson,05-21-13,18
1260,"Endless Referrals, Third Edition",Bob Burg,08-30-22,17
1261,Subliminal,Leonard Mlodinow,04-24-12,16
1262,Passive Prospecting,Levi Lascsak,05-15-23,14
1263,How to Be a Power Connector,Judy Robinett,05-23-14,17
1264,El líder que no tenía cargo,Robin Sharma,06-20-14,16
1265,"Fall in Love with the Problem, Not the Solution",Uri Levine,01-17-23,18
1266,First Things First,Stephen R. Covey,03-09-04,12
1267,Actionable Gamification,Yu-kai Chou,03-27-17,22
1268,The Founder's Dilemmas,Noam Wasserman,09-21-12,22
1269,Everybody Matters,Bob Chapman,06-27-16,17
1270,Bargaining for Advantage,G. Richard Shell,06-17-14,15
1271,Awaken Your Genius,Ozan Varol,04-11-23,29
1272,Banana Ball,Jesse Cole,05-16-23,24
1273,The Leadership Gap,Lolly Daskal,05-30-17,14
1274,The Book on Rental Property Investing,Brandon Turner,12-10-15,22
1275,So Good They Can't Ignore You,Cal Newport,09-18-12,20
1276,Why Nations Fail,Daron Acemoglu,03-20-12,17
1277,Positive Intelligence,Shirzad Chamine,04-13-12,21
1278,How Will You Measure Your Life?,Clayton M. Christensen,05-15-12,21
1279,The Unspoken Truths for Career Success,Tessa White,02-28-23,29
1280,The Dealmaker,Mauricio Umansky,04-11-23,17
1281,Words That Work,Dr. Frank Luntz,01-02-07,22
1282,Leading with the Heart,Mike Krzyzewski,05-31-16,18
1283,The ONE Thing,Gary Keller,10-08-13,30
1284,Charlie Munger,Tren Griffin,09-15-15,22
1285,The Power of the Other,Henry Cloud,05-03-16,17
1286,Thanks for the Feedback,Sheila Heen,03-04-14,15
1287,The Crash Course (2nd Edition),Chris Martenson,03-28-23,17
1288,"Don't Sweat the Small Stuff, and It's All Small Stuff",Richard Carlson,12-16-99,14
1289,The Four Obsessions of an Extraordinary Executive,Patrick Lencioni,10-18-02,13
1290,Getting Naked,Patrick Lencioni,02-23-10,21
1291,Delivering Happiness,Tony Hsieh,06-07-10,16
1292,"The Great Game of Business, Expanded and Updated",Jack Stack,03-05-15,17
1293,The Ultimate Sales Machine,Chet Holmes,11-21-08,17
1294,HBR Guide to Buying a Small Business,Richard S. Ruback,03-02-17,17
1295,You Can't Teach a Kid to Ride a Bike at a Seminar,David Mattson - foreword,08-01-17,20
1296,The Noticer,Andy Andrews,04-01-09,18
1297,The Fred Factor,Mark Sanborn,09-15-06,8
1298,Blindspot,Mahzarin R. Banaji,04-22-14,17
1299,Mastering the Rockefeller Habits,Verne Harnish,02-27-17,13
1300,Executive Presence,Sylvia Ann Hewlett,06-03-14,19
1301,Declutter Your Mind,S.J. Scott,09-13-16,13
1302,Bargaining with the Devil,Robert Mnookin,02-02-10,14
1303,Scale,Geoffrey West,05-16-17,38
1304,Leadership on the Line (Revised),Ronald A. Heifetz,07-11-17,24
1305,Unlocked,George Mumford,05-02-23,32
1306,For the Culture,Marcus Collins,05-02-23,32
1307,Let My People Go Surfing,Yvon Chouinard,09-06-16,24
1308,Chill and Prosper,Denise Duffield-Thomas,07-19-22,16
1309,Breaking Through,Sally Susman,03-28-23,17
1310,The 7 Habits of Highly Effective People,Stephen R. Covey,12-28-03,17
1311,The Little Red Book of Selling,Jeffrey Gitomer,09-09-08,14
1312,Second Chance,Robert T. Kiyosaki,02-23-15,22
1313,The Way of the Shepherd,William Pentak,06-17-08,14
1314,How I Raised Myself from Failure to Success in Selling,Frank Bettger,12-06-16,14
1315,Linchpin,Seth Godin,01-26-10,10
1316,The Power of Broke,Daymond John,09-27-16,17
1317,The Toilet Paper Entrepreneur,Mike Michalowicz,10-03-13,13
1318,Ca$hvertising,Drew Eric Whitman,05-12-17,12
1319,Rejection Proof,Jia Jiang,05-08-15,21
1320,Primal Branding,Patrick Hanlon,05-17-06,18
1321,The Last Season,Eric Blehm,11-17-15,22
1322,The Emigrant Edge,Brian Buffini,08-01-17,14
1323,The Lean Product Playbook,Dan Olsen,05-19-16,21
1324,"Start Late, Finish Rich",David Bach,02-16-05,28
1325,Be the Calm or Be the Storm,Captain Sandy Yawn,01-10-23,18
1326,Robert's Rules of Order Newly Revised in Brief (3rd Edition),Henry M. Robert III,09-13-22,20
1327,To-Do List Formula,Damon Zahariades,07-18-17,6
1328,Running Lean (3rd Edition),Ash Maurya,07-26-22,21
1329,The Gift of Influence,Tommy Spaulding,09-20-22,16
1330,The Ultimate Coach,Amy Hardison,03-15-22,22
1331,Everybody Writes (2nd Edition),Ann Handley,03-14-23,21
1332,Finish,Jon Acuff,09-12-17,14
1333,Scaling Up,Verne Harnish,11-10-14,17
1334,The Hard Hat,Jon Gordon,07-24-15,11
1335,Be Your Future Self Now,Dr. Benjamin Hardy,06-14-22,18
1336,Reboot,Jerry Colonna,06-18-19,17
1337,Powerful: Building a Culture of Freedom and Responsibility,Patty McCord,01-09-18,13
1338,Tribe of Millionaires: What If One Choice Could Change Everything?,David Osborn,09-23-19,13
1339,Talent Magnet: How to Attract and Keep the Best People,Mark Miller,01-02-18,6
1340,It Doesn't Have to Be Crazy at Work,Jason Fried,10-02-18,19
1341,The Likeability Trap,Alicia Menendez,11-05-19,21
1342,Narconomics,Tom Wainwright,03-15-16,17
1343,Discover Your True North,Bill George,10-18-16,22
1344,How Google Works,Eric Schmidt,09-23-14,20
1345,Bold,Peter H. Diamandis,02-03-15,15
1346,Monetizing Innovation,Georg Tacke,10-06-16,17
1347,The Tragedy of Great Power Politics,John J. Mearsheimer,07-11-13,23
1348,I Know How She Does It,Laura Vanderkam,06-09-15,16
1349,Hit Makers,Derek Thompson,02-07-17,28
1350,Work Clean,Dan Charnas,05-03-16,28
1351,Talking to Crazy,Mark Goulston MD,10-21-15,17
1352,Fast Food Nation,Eric Schlosser,02-06-01,14
1353,Performing Under Pressure,Hendrie Weisinger,02-24-15,17
1354,The Drunkard's Walk,Leonard Mlodinow,06-26-08,18
1355,More Money Than God,Sebastian Mallaby,11-04-10,30
1356,When Money Dies,Adam Fergusson,12-10-10,22
1357,Burn the Boats,Matt Higgins,02-14-23,32
1358,Made to Stick,Chip Heath,12-18-06,13
1359,The Millionaire Messenger,Brendon Burchard,05-31-11,14
1360,"Fascinate, Revised and Updated",Sally Hogshead,04-26-16,24
1361,Leading the Unleadable,Alan Willett,11-29-16,22
1362,Angel,Jason Calacanis,07-18-17,21
1363,It's Our Ship,Captain D. Michael Abrashoff,06-13-08,14
1364,Way of the Wolf,Jordan Belfort,09-26-17,15
1365,Fordlandia,Greg Grandin,06-17-10,26
1366,The Effective Manager,Mark Horstman,06-13-17,17
1367,7 Rules of Power,Jeffrey Pfeffer,06-07-22,37
1368,"Clockwork, Revised and Expanded",Mike Michalowicz,08-30-22,16
1369,Platform Revolution,Geoffrey G. Parker,03-28-16,26
1370,"Thinking, Fast and Slow",Daniel Kahneman,12-23-11,18
1371,The End of Average,Todd Rose,01-19-16,19
1372,A Whole New Mind,Daniel H. Pink,07-30-08,15
1373,Loonshots,Safi Bahcall,03-19-19,26
1374,Take the Stairs,Rory Vaden,02-09-12,18
1375,The Big Rich,Bryan Burrough,03-26-09,35
1376,Super Pumped,Mike Isaac,09-03-19,30
1377,The Kingdom of Prep,Maggie Bullock,03-07-23,32
1378,Both/and Thinking,Wendy Smith,08-16-22,17
1379,Geopolitical Alpha,Marko Papic,07-20-22,17
1380,The Cold Email Manifesto,Alex Berman,05-27-22,13
1381,Leadership Secrets of Attila the Hun,Wess Roberts,10-14-09,12
1382,Daring Greatly,Brené Brown,06-26-18,21
1383,Turnaround Time,Oscar Munoz,05-02-23,32
1384,Sensitive,Jenn Granneman,02-28-23,28
1385,The No Asshole Rule,Robert I. Sutton Ph.D.,02-22-07,13
1386,Up Close and All In,John Mack,10-11-22,19
1387,The Million-Dollar Financial Advisor,David J. Mullen Jr.,05-02-14,17
1388,Hacking Growth,Sean Ellis,04-25-17,28
1389,The Fine Art of Small Talk,Debra Fine,03-19-15,13
1390,The $100 Startup,Chris Guillebeau,05-08-12,16
1391,Side Hustle,Chris Guillebeau,09-19-17,16
1392,"The Conversion Code, 2nd Edition",Chris Smith,07-26-22,17
1393,Getting Past No,William Ury,12-15-99,9
1394,Primal Leadership,Daniel Goleman,05-17-02,17
1395,Barking up the Wrong Tree,Eric Barker,05-16-17,26
1396,"HBR's 10 Must Reads on Emotional Intelligence (With Featured Article ""What Makes a Leader?"" by Daniel Goleman)",Harvard Business Review,11-15-22,12
1397,Solving the Procrastination Puzzle,Timothy A. Pychyl,04-03-14,11
1398,Mixed Signals,Uri Gneezy,03-21-23,20
1399,The Carpenter,Jon Gordon,12-29-13,11
1400,Key Person of Influence,Daniel Priestley,02-29-16,16
1401,Flawless Consulting,Peter Block,01-31-12,24
1402,The 3-Minute Rule,Brant Pinvidic,10-29-19,14
1403,The McKinsey Way,Ethan M. Rasiel,09-13-22,17
1404,Originals,Adam Grant,02-02-16,12
1405,Fish!,Stephen C. Lundin,05-13-14,16
1406,Creative Visualization,Shakti Gawain,12-16-99,10
1407,Think Like a Rocket Scientist,Ozan Varol,04-14-20,20
1408,The Unsold Mindset,Colin Coggins,02-21-23,32
1409,The 5 Practices of Highly Resilient People,Dr. Taryn Marie Stejskal,04-18-23,32
1410,Gung Ho!,Sheldon Bowles,10-30-08,7
1411,Leadership in the Shadows,SGM Kyle Lamb,08-13-19,17
1412,Economics in One Lesson,Henry Hazlitt,12-15-99,15
1413,The Oz Principle,Roger Connors,02-09-11,24
1414,The 8th Habit,Stephen R. Covey,11-03-04,15
1415,Free to Choose,Milton Friedman,06-22-07,20
1416,Do You Talk Funny?,David Nihill,11-24-15,13
1417,You Win in the Locker Room First,Jon Gordon,03-07-16,17
1418,Fat Chance,Robert H. Lustig,12-27-12,24
1419,Critical Chain,Eliyahu M. Goldratt,03-18-14,24
1420,The Moral Case for Fossil Fuels,Alex Epstein,02-24-15,21
1421,Scale or Fail,Allison Maslan,10-08-19,17
1422,Freedom's Forge,Arthur Herman,08-15-12,26
1423,Own Your Past Change Your Future,Dr. John Delony,04-19-22,17
1424,Million Dollar Identity,Jamie Wolf,06-24-22,17
1425,"Start, Stay, or Leave",Trey Gowdy,01-24-23,28
1426,Quiet Leadership,Carlo Ancelotti,05-26-16,12
1427,Invisible Influence,Jonah Berger,06-14-16,15
1428,Rising Strong,Brené Brown,08-25-15,15
1429,Unlimited Memory,Kevin Horsley,07-28-16,6
1430,The More of Less,Joshua Becker,05-03-16,21
1431,When Women Lead,Julia Boorstin,10-11-22,19
1432,One Word That Will Change Your Life,Jon Gordon,03-23-17,7
1433,Buy Back Your Time,Dan Martell,01-17-23,28
1434,Be the Boss Everyone Wants to Work For,William A. Gentry Ph.D.,07-29-16,13
1435,Start-Up Nation,Dan Senor,11-02-09,22
1436,"Fall in Love with the Problem, Not the Solution",Uri Levine,03-17-23,25
1437,Three Feet from Gold,Sharon Lechter,10-06-09,22
1438,Grow the F*ck Up,Sarah Knight,04-04-23,22
1439,The Creature from Jekyll Island,G. Edward Griffin,07-18-13,26
1440,Rest Is Resistance,Tricia Hersey,10-11-22,20
1441,The Perfectionist's Guide to Losing Control,Katherine Morgan Schafler,01-17-23,32
1442,Scars and Stripes,Tim Kennedy,06-07-22,20
1443,What's in It for Them?,Joe Polish,11-01-22,19
1444,Wonder Boy,Angel Au-Yeung,04-25-23,26
1445,Shop Class as Soulcraft,Matthew B. Crawford,10-16-18,21
1446,Busting Loose from the Money Game,Robert Scheinfeld,12-08-12,17
1447,The 7-Power Contractor,Al Levi,05-14-18,6
1448,Product-Led Growth,Wes Bush,10-28-19,13
1449,Coachability,Kevin Wilde,04-27-23,15
1450,The Sales Acceleration Formula,Mark Roberge,07-27-20,20
1451,The Second in Command,Cameron Herold,01-24-23,13
1452,How Far Do You Want to Go?,John Catsimatidis,02-28-23,21
1453,Come Up for Air,Nick Sonnenberg,02-07-23,29
1454,Zero to IPO,Frederic Kerrest,04-19-22,17
1455,"The House of Rothschild, Volume 1",Niall Ferguson,01-15-19,30
1456,The People's Tycoon,Steven Watts,11-21-08,49
1457,I'm Not Yelling,Elizabeth Leiba,03-28-23,17
1458,Chess Not Checkers,Mark Miller,04-06-15,6
1459,Paved Paradise,Henry Grabar,05-09-23,28
1460,"Set for Life, Revised Edition",Scott Trench,04-28-17,17
1461,The PD Book,Elena Aguilar,06-07-22,17
1462,Say the Right Thing,Kenji Yoshino,02-07-23,17
1463,The Billionaire Murders,Kevin Donovan,10-29-19,22
1464,Subscribed,Tien Tzuo,06-05-18,16
1465,The Myth of the Nice Girl,Fran Hauser,04-17-18,17
1466,"Snakes in Suits, Revised Edition",Paul Babiak PhD,08-13-19,18
1467,Grace Over Grind,Shae Bynes,01-11-18,6
1468,Do It Scared,Ruth Soukup,05-21-19,25
1469,Into the Raging Sea,Rachel Slade,05-01-18,23
1470,Leading with Gratitude,Adrian Gostick,03-10-20,19
1471,Zone to Win,Geoffrey A. Moore,10-10-17,18
1472,"Change by Design, Revised and Updated",Tim Brown,03-05-19,23
1473,Chief Joy Officer,Richard Sheridan,12-04-18,16
1474,"Start Small, Stay Small",Rob Walling,12-13-18,13
1475,The Power of Positive Leadership,Jon Gordon,05-08-17,17
1476,The Warren Buffett Way,Robert Hagstrom,09-30-13,28
1477,33 Strategies of War,Robert Greene,07-22-15,20
1478,Flying in the Face of Fear,Kim Campbell,03-08-23,17
1479,The Art of Saying No,Damon Zahariades,09-04-17,6
1480,Letting Go,David R. Hawkins MD,12-28-14,30
1481,On Grand Strategy,John Lewis Gaddis,04-03-18,28
1482,Big Potential,Shawn Achor,01-30-18,16
1483,The Family Board Meeting: You Have 18 Summers to Create Lasting Connection with Your Children,Jim Sheils,08-28-18,6
1484,Next!,Joanne Lipman,03-21-23,32
1485,A Book of Five Rings,Miyamoto Musashi,07-23-14,13
1486,Declare War on Yourself,Marc Summers,08-31-17,17
1487,The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,MJ DeMarco,08-11-15,22
1488,It Worked for Me,Colin Powell,05-22-12,19
1489,The Secrets of Power Negotiating,Roger Dawson,10-14-14,37
1490,Above the Line,Urban Meyer,10-27-15,16
1491,How to Calm Your Mind,Chris Bailey,12-27-22,28
1492,The Art of Clear Thinking,Hasard Lee,05-23-23,19
1493,The Happiness Equation,Neil Pasricha,03-08-16,14
1494,Let's Get Real or Let's Not Play,Mahan Khalsa,12-10-19,16
1495,What It Takes,Stephen A. Schwarzman,09-17-19,19
1496,"Venture Deals, 4th Edition",Brad Feld,10-15-19,21
1497,Make Time,Jake Knapp,09-25-18,14
1498,The Algebra of Happiness,Scott Galloway,05-14-19,13
1499,Tribal Leadership,Dave Logan,02-19-19,17
1500,From the World of Percy Jackson: Sun and the Star,Rick Riordan,05-02-23,20
1501,"The Legend of Dave the Villager, Books 16–20",Dave Villager,05-04-23,20
1502,The Lost Hero,Rick Riordan,09-24-22,23
1503,The Tale of Despereaux,Kate DiCamillo,02-05-04,14
1504,Out of My Mind,Sharon M. Draper,03-29-16,14
1505,Esperanza Rising,Pam Munoz Ryan,10-31-03,11
1506,Charlie and the Chocolate Factory,Roald Dahl,06-13-13,11
1507,The One and Only Ruby,Katherine Applegate,05-02-23,32
1508,"Lockwood & Co.: The Screaming Staircase, Book 1",Jonathan Stroud,09-17-13,23
1509,Number the Stars,Lois Lowry,04-16-04,8
1510,The Henry Huggins Audio Collection,Beverly Cleary,11-22-11,36
1511,Frog and Toad Audio Collection,Arnold Lobel,11-12-04,13
1512,"The Amulet of Samarkand: The Bartimaeus Trilogy, Book 1",Jonathan Stroud,10-24-03,17
1513,The Wild Robot,Peter Brown,04-05-16,26
1514,Sabriel,Garth Nix,12-29-02,28
1515,The Penderwicks,Jeanne Birdsall,01-01-06,27
1516,Hatchet,Gary Paulsen,10-31-03,14
1517,Charlotte's Web,E. B. White,10-24-03,14
1518,Holes,Louis Sachar,11-07-03,14
1519,A Wrinkle in Time,Madeleine L'Engle,01-10-12,17
1520,The Ramona Quimby Audio Collection,Beverly Cleary,11-22-11,35
1521,Inkheart,Cornelia Funke,03-25-04,17
1522,"Fablehaven, Book 1",Brandon Mull,05-27-13,10
1523,The School for Good and Evil,Soman Chainani,05-14-13,36
1524,Restart,Gordon Korman,05-30-17,18
1525,Iceberg,Jennifer A. Nielsen,03-07-23,20
1526,The Princess Bride,William Goldman,12-16-99,6
1527,A Villains Collection,Serena Valentino,10-11-16,29
1528,Carnival Quest,Brandon Mull,04-06-23,32
1529,Coraline,Neil Gaiman,11-07-03,14
1530,Farmer Boy,Laura Ingalls Wilder,02-07-17,17
1531,Magic Tree House Collection: Books 1-8,Mary Pope Osborne,09-27-11,17
1532,Matilda,Roald Dahl,06-13-13,14
1533,The Incredible Journey,Sheila Burnford,10-10-03,14
1534,Snow Treasure,Marie McSwigan,06-11-12,15
1535,The Devil's Arithmetic,Jane Yolen,12-04-14,15
1536,Save Me a Seat,Sarah Weeks,05-10-16,12
1537,The Eyes and the Impossible,Dave Eggers,05-09-23,21
1538,The Rhythm of Time,Questlove,04-18-23,28
1539,Fall of the School for Good and Evil,Soman Chainani,05-02-23,32
1540,Eclipse,Stephenie Meyer,07-23-07,17
1541,Little House in the Big Woods,Laura Ingalls Wilder,02-07-17,10
1542,Skandar and the Phantom Rider,A.F. Steadman,05-02-23,23
1543,"Sarah, Plain and Tall",Patricia MacLachlan,11-18-08,14
1544,Aesop's Fables,Aesop,08-23-05,10
1545,All-of-a-Kind Family,Sydney Taylor,12-13-00,13
1546,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Saenz,04-09-13,13
1547,"The Bad Beginning, A Multi-Voice Recording",Lemony Snicket,12-28-03,12
1548,Skink - No Surrender,Carl Hiaasen,09-23-14,17
1549,Dave the Villager 20,Dave Villager,04-24-23,7
1550,Maniac Magee,Jerry Spinelli,10-10-03,18
1551,Brown Girl Dreaming,Jacqueline Woodson,08-28-14,14
1552,"Bud, Not Buddy",Christopher Paul Curtis,08-10-00,14
1553,Bastard,Alexey Osadchuk,02-28-23,17
1554,Counting by 7s,Holly Goldberg Sloan,08-29-13,28
1555,Al Capone Does My Shirts,Gennifer Choldenko,09-08-09,14
1556,Astrophysics for People in a Hurry,Neil deGrasse Tyson,05-02-17,15
1557,A Wind in the Door,Madeleine L'Engle,01-10-12,17
1558,Peter Nimble and His Fantastic Eyes,Jonathan Auxier,01-04-12,26
1559,Dork Diaries,Rachel Renée Russell,09-28-10,8
1560,Stargirl Movie Tie-In Edition,Jerry Spinelli,11-14-03,18
1561,Frightful's Mountain,Jean Craighead George,12-04-14,21
1562,A Long Way from Chicago,Richard Peck,11-25-08,14
1563,How to Train Your Dragon,Cressida Cowell,01-02-14,14
1564,Slacker,Gordon Korman,04-26-16,18
1565,Nevermoor: The Trials of Morrigan Crow,Jessica Townsend,10-31-17,28
1566,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,12-26-04,24
1567,"That Was Then, This Is Now",S. E. Hinton,10-14-15,12
1568,Code Talker,Joseph Bruchac,01-15-13,18
1569,Patina,Jason Reynolds,08-29-17,14
1570,Flipped,Wendelin Van Draanen,01-10-17,28
1571,The Lightning Thief,Rick Riordan,07-01-05,17
1572,Echo,Pam Muñoz Ryan,04-08-15,17
1573,The Indian in the Cupboard,Lynne Reid Banks,12-29-02,15
1574,Pippi Longstocking,Astrid Lindgren,10-24-03,8
1575,The First Three Minutes,Steven Weinberg,11-01-22,21
1576,"Are You There God? It's Me, Margaret (Movie Tie-In Edition)",Judy Blume,01-21-10,20
1577,The War I Finally Won,Kimberly Brubaker Bradley,10-03-17,22
1578,The Bark of the Bog Owl,Jonathan Rogers,08-10-17,17
1579,By The Great Horn Spoon!,Sid Fleischman,10-05-04,21
1580,House of Many Ways,Diana Wynne Jones,02-10-09,21
1581,Projekt 1065,Alan Gratz,10-11-16,17
1582,Big Tree,Brian Selznick,04-04-23,11
1583,Tales from a Not-So-Happily Ever After,Rachel Renée Russell,09-30-14,8
1584,The Thief's Daughter,Jeff Wheeler,05-31-16,26
1585,The Trumpet of the Swan,E. B. White,12-04-06,21
1586,Nic Blake and the Remarkables: The Manifestor Prophecy,Angie Thomas,04-04-23,32
1587,"The Story of Civilization, Volume I: The Ancient World",Phillip Campbell,06-21-16,17
1588,The Golden Lily,Richelle Mead,06-12-12,42
1589,Masterminds,Gordon Korman,02-03-15,25
1590,Two Degrees,Alan Gratz,10-04-22,17
1591,The Book with No Pictures,B. J. Novak,09-30-14,5
1592,Ungifted,Gordon Korman,09-21-12,17
1593,Danny the Champion of the World,Roald Dahl,09-26-13,21
1594,Escape from Mr. Lemoncello's Library,Chris Grabenstein,01-07-14,25
1595,Father and I Were Ranchers,Ralph Moody,10-27-08,22
1596,Magyk,Angie Sage,04-06-05,25
1597,Goodnight Moon,Margaret Wise Brown,11-04-08,1
1598,The Sign of the Beaver,Elizabeth George Speare,12-12-08,8
1599,Jack Zulu and the Waylander's Key,S. D. Smith,12-10-22,17
1600,Serafina and the Black Cloak,Robert Beatty,07-14-15,22
1601,Mr. Popper's Penguins,Richard Atwater,04-01-09,11
1602,The City of Ember,Jeanne DuPrau,06-04-04,14
1603,Poached,Stuart Gibbs,04-08-14,15
1604,A Long Walk to Water,Linda Sue Park,11-07-13,21
1605,Ghost,Jason Reynolds,08-30-16,12
1606,Prodigy,Marie Lu,01-29-13,35
1607,Many Waters,Madeleine L'Engle,11-11-08,17
1608,The Field Guide,Tony DiTerlizzi,02-21-23,14
1609,Making Bombs for Hitler,Marsha Forchuk Skrypuch,02-05-20,15
1610,Out of the Dust,Karen Hesse,10-30-08,7
1611,100 Cupboards,N. D. Wilson,12-26-07,21
1612,The Eagle of the Ninth,Rosemary Sutcliff,01-01-06,10
1613,Beyond the Bright Sea,Lauren Wolk,05-02-17,18
1614,The Door in the Wall,Marguerite De Angeli,09-16-08,13
1615,Sweep,Jonathan Auxier,09-25-18,17
1616,Blood on the River,Elisa Carbone,04-03-18,25
1617,The Genius Files #5: License to Thrill,Dan Gutman,01-27-15,21
1618,The Crimson Crown,Cinda Williams Chima,10-25-12,30
1619,Flush,Carl Hiaasen,12-26-04,14
1620,Forest Born,Shannon Hale,02-01-13,13
1621,Gregor the Overlander,Suzanne Collins,12-26-04,28
1622,Runaway Ralph,Beverly Cleary,01-24-07,9
1623,Flora and Ulysses,Kate DiCamillo,09-24-13,25
1624,"Fortunately, the Milk",Neil Gaiman,09-17-13,11
1625,Maximum Ride,James Patterson,03-18-05,11
1626,Shiloh,Phyllis Reynolds Naylor,10-31-03,8
1627,Dragon Rider,Cornelia Funke,08-18-04,16
1628,Mr. Lemoncello's Library Olympics,Chris Grabenstein,01-05-16,25
1629,Salt to the Sea,Ruta Sepetys,02-02-16,32
1630,The Last Kids on Earth,Max Brallier,09-26-17,21
1631,The Wave,Todd Strasser,10-01-19,14
1632,Where the Wild Things Are,Maurice Sendak,03-16-06,2
1633,The House of Hades,Rick Riordan,10-08-13,15
1634,Walk Two Moons,Sharon Creech,03-16-06,16
1635,Old Yeller,Fred Gipson,01-05-10,19
1636,Wonder,R. J. Palacio,05-17-22,22
1637,The Prophet of Yonwood,Jeanne DuPrau,01-01-06,14
1638,The Sisters Grimm,Michael Buckley,03-13-09,28
1639,Spirit Bound,Richelle Mead,05-18-10,42
1640,The Fort,Gordon Korman,06-28-22,21
1641,The Firefly Summer,Morgan Matson,05-02-23,20
1642,A Night Divided,Jennifer A. Nielsen,09-01-15,15
1643,Howl's Moving Castle,Diana Wynne Jones,11-14-08,27
1644,Minecraft: The Island (Narrated by Jack Black),Max Brooks,07-18-17,15
1645,"The Trials of Apollo, Book One: The Hidden Oracle",Rick Riordan,05-03-16,26
1646,Goldilocks and the Three Bears,James Marshall,03-16-06,2
1647,The Secret Lake,Karen Inglis,06-29-19,6
1648,Insignificant Events in the Life of a Cactus,Dusti Bowling,03-05-19,14
1649,The Hobbit,J. R. R. Tolkien,09-21-20,24
1650,The Dragonet Prophecy,Tui T. Sutherland,07-01-12,21
1651,The Magic Misfits,Neil Patrick Harris,11-21-17,20
1652,Gladys Aylward: The Adventure of a Lifetime,Janet Benge,03-29-23,21
1653,Once There Was,Kiyash Monsef,04-04-23,23
1654,"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,11-20-15,30
1655,Pages & Co.: The Bookwanderers,Anna James,09-24-19,18
1656,The Unwanteds,Lisa McMann,08-30-11,21
1657,Cress,Marissa Meyer,02-04-14,26
1658,Pax,Sara Pennypacker,02-02-16,25
1659,The Ralph S. Mouse Audio Collection,Beverly Cleary,11-22-11,17
1660,Fallen,Lauren Kate,12-08-09,28
1661,Evil Spy School,Stuart Gibbs,04-21-15,21
1662,Escaping Peril,Tui T. Sutherland,02-04-16,15
1663,Beauty and the Beast: Lost in a Book,Jennifer Donnelly,03-14-17,17
1664,Spy School,Stuart Gibbs,02-07-17,14
1665,Alcatraz Versus the Knights of Crystallia,Brandon Sanderson,03-19-12,17
1666,The Witch of Blackbird Pond,Elizabeth George Speare,11-07-03,21
1667,The Throne of Fire,Rick Riordan,09-20-22,23
1668,The Red Pyramid,Rick Riordan,01-24-23,27
1669,Melissa,Alex Gino,09-01-15,11
1670,David Livingstone: Africa's Trailblazer,Janet Benge,03-28-23,21
1671,The Absolutely True Diary of a Part-Time Indian (10th Anniversary Edition),Sherman Alexie,06-18-19,16
1672,Between Shades of Gray,Ruta Sepetys,03-22-11,22
1673,The Magician's Elephant,Kate DiCamillo,09-21-10,15
1674,Wish,Barbara O'Connor,08-30-16,15
1675,Wayside School is Falling Down,Louis Sachar,09-16-08,9
1676,Hunt for Jade Dragon,Richard Paul Evans,09-16-14,21
1677,Crenshaw,Katherine Applegate,09-22-15,25
