,Title,Author,Release date,Price $
96,How Music Works,David Byrne,04-26-22,32
97,DisneyWar,James B. Stewart,10-27-17,47
98,Set the Boy Free,Johnny Marr,11-15-16,14
99,Kasher in the Rye,Moshe Kasher,03-28-12,16
100,My Voice,Angie Martinez,09-13-16,16
101,George Lucas,Brian Jay Jones,12-06-16,21
102,Biography of a Phantom,Robert Mack McCormick,04-04-23,17
103,If Chins Could Kill,Bruce Campbell,03-17-14,22
104,The Chiffon Trenches,André Leon Talley,05-19-20,17
105,Color,Victoria Finlay,01-31-23,35
106,"Don't Think, Dear",Alice Robb,02-28-23,32
107,The Dirt,Tommy Lee,06-25-19,30
108,Elizabeth Taylor,Kate Andersen Brower,12-06-22,32
109,Set Your Voice Free,Roger Love,12-27-16,21
110,Dapper Dan: Made in Harlem,Daniel R. Day,07-09-19,28
111,Face It,Debbie Harry,10-01-19,21
112,Nothing General About It,Maurice Benard,04-07-20,24
113,I'm Your Huckleberry,Val Kilmer,04-21-20,15
114,From This Moment On,Shania Twain,05-03-11,14
115,Original Gangstas,Ben Westhoff,09-15-16,17
116,Guitar Zero,Gary Marcus,01-19-12,24
117,Fail Until You Don't,Bobby Bones,06-19-18,21
118,Once Upon a Time in Compton,Tim Brennan,03-12-18,22
119,Jim Henson,Brian Jay Jones,09-24-13,28
120,Directing Actors,Judith Weston,09-24-19,30
121,This Is Just My Face,Gabourey Sidibe,05-01-17,22
122,Who I Am,Pete Townshend,10-08-12,20
123,Making Rumours,Ken Caillat,02-01-13,19
124,To Anyone Who Ever Asks,Howard Fishman,05-02-23,32
125,Beethoven,Jan Swafford,01-05-15,40
126,Tune In,Mark Lewisohn,10-29-13,63
127,Sanford Meisner on Acting,Sanford Meisner,07-16-19,18
128,El camino del artista [The Artist's Way],Julia Cameron,11-28-19,19
129,The Artist's Way: 25th Anniversary Edition,Julia Cameron,03-23-21,15
130,Broken Horses,Brandi Carlile,04-20-21,15
131,Is This Anything?,Jerry Seinfeld,10-06-20,15
132,Soulless,Jim DeRogatis,06-04-19,30
133,All the Beauty in the World,Patrick Bringley,02-14-23,17
134,"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,11-01-22,20
135,Miracle and Wonder,Malcolm Gladwell,11-16-21,19
136,The Good Neighbor,Maxwell King,09-04-18,27
137,More Myself,Alicia Keys,03-31-20,21
138,Us Against the World,David Mann,11-13-18,21
139,Switched On,Albert Glinsky,02-21-23,24
140,The Glass Menagerie,Tennessee Williams,11-21-19,11
141,Ancient Aliens,The Producers of Ancient Aliens,11-15-16,19
142,I'm Judging You,Luvvie Ajayi,09-13-16,24
143,Mustache Shenanigans,Jay Chandrasekhar,03-28-17,18
144,The Men Who Would Be King,Nicole LaPorte,05-05-10,30
145,Coming Home to Myself,Wynonna Judd,09-29-05,21
146,The Psychology of Pokémon,Anthony Bean,11-11-22,17
147,Hard to Handle,Steve Gorman,09-24-19,30
148,Musicophilia,Oliver Sacks,09-28-07,21
149,Lonely Boy,Steve Jones,01-10-17,30
150,The Office,Andy Greene,03-24-20,32
151,Gold Dust Woman,Stephen Davis,11-21-17,24
152,Life and Fate: The Complete Series (Dramatised),Vasily Grossman,10-13-11,18
153,"Al Franken, Giant of the Senate",Al Franken,05-30-17,30
154,Georgia O'Keeffe,Roxana Robinson,12-20-22,54
155,All You Need to Know About the Music Business,Donald S. Passman,10-29-19,28
156,I Am the Warrior,Holly Knight,11-29-22,17
157,Born Standing Up,Steve Martin,11-01-07,13
158,Wild Tales,Graham Nash,09-17-13,17
159,George Michael,James Gavin,09-13-22,24
160,Those Guys Have All the Fun,James Andrew Miller,05-25-11,31
