,Title,Author,Release date,Price $
3322,Prepared,Mike Glover,06-06-23,24
3323,CompTIA Security+ All-in-One Exam Guide Exam SY0-601 (Sixth Edition),Wm. Arthur Conklin,05-30-23,28
3324,The Spell of the Sensuous,David Abram,06-20-17,28
3325,Proust and the Squid,Maryanne Wolf,08-26-08,23
3326,Culturally Responsive Teaching and the Brain,Zaretta Hammond,03-30-23,19
3327,Grit,Angela Duckworth,05-03-16,15
3328,The Death of Expertise,Tom Nichols,05-23-17,27
3329,The Writing Revolution,Judith C. Hochman,07-10-18,21
3330,"Lies My Teacher Told Me, 2nd Edition",Dr. James Loewen,06-13-19,35
3331,The Book Whisperer,Donalyn Miller,02-20-12,21
3332,Art & Fear,David Bayles,04-23-12,14
3333,The Story of Human Language,John McWhorter,07-08-13,42
3334,Mathematical Mindsets,Jo Boaler,03-10-20,21
3335,Washington's Crossing,David Hackett Fischer,05-12-04,30
3336,Culturize,Jimmy Casas,06-30-18,14
3337,The Art of Coaching,Elena Aguilar,08-13-19,21
3338,The Science of Reading in Action,Malia Hollowell,06-14-23,15
3339,What Great Principals Do Differently,Todd Whitaker,01-29-19,14
3340,Reference Book,Todd Reeves,06-16-23,7
3341,Learn Spanish with Paul Noble for Beginners – Complete Course,Paul Noble,03-31-16,17
3342,Prepared,Mike Glover,06-06-23,24
3343,CompTIA Security+ All-in-One Exam Guide Exam SY0-601 (Sixth Edition),Wm. Arthur Conklin,05-30-23,28
3344,The Spell of the Sensuous,David Abram,06-20-17,28
3345,Proust and the Squid,Maryanne Wolf,08-26-08,23
3346,Culturally Responsive Teaching and the Brain,Zaretta Hammond,03-30-23,19
3347,Grit,Angela Duckworth,05-03-16,15
3348,The Death of Expertise,Tom Nichols,05-23-17,27
3349,The Writing Revolution,Judith C. Hochman,07-10-18,21
3350,"Lies My Teacher Told Me, 2nd Edition",Dr. James Loewen,06-13-19,35
3351,The Book Whisperer,Donalyn Miller,02-20-12,21
3352,Art & Fear,David Bayles,04-23-12,14
3353,The Story of Human Language,John McWhorter,07-08-13,42
3354,Mathematical Mindsets,Jo Boaler,03-10-20,21
3355,Washington's Crossing,David Hackett Fischer,05-12-04,30
3356,Culturize,Jimmy Casas,06-30-18,14
3357,The Art of Coaching,Elena Aguilar,08-13-19,21
3358,The Science of Reading in Action,Malia Hollowell,06-14-23,15
3359,What Great Principals Do Differently,Todd Whitaker,01-29-19,14
3360,Reference Book,Todd Reeves,06-16-23,7
3361,Learn Spanish with Paul Noble for Beginners – Complete Course,Paul Noble,03-31-16,17
3362,Prepared,Mike Glover,06-06-23,24
3363,CompTIA Security+ All-in-One Exam Guide Exam SY0-601 (Sixth Edition),Wm. Arthur Conklin,05-30-23,28
3364,The Spell of the Sensuous,David Abram,06-20-17,28
3365,Proust and the Squid,Maryanne Wolf,08-26-08,23
3366,Culturally Responsive Teaching and the Brain,Zaretta Hammond,03-30-23,19
3367,Grit,Angela Duckworth,05-03-16,15
3368,The Death of Expertise,Tom Nichols,05-23-17,27
3369,The Writing Revolution,Judith C. Hochman,07-10-18,21
3370,"Lies My Teacher Told Me, 2nd Edition",Dr. James Loewen,06-13-19,35
3371,The Book Whisperer,Donalyn Miller,02-20-12,21
3372,Art & Fear,David Bayles,04-23-12,14
3373,The Story of Human Language,John McWhorter,07-08-13,42
3374,Mathematical Mindsets,Jo Boaler,03-10-20,21
3375,Washington's Crossing,David Hackett Fischer,05-12-04,30
3376,Culturize,Jimmy Casas,06-30-18,14
3377,The Art of Coaching,Elena Aguilar,08-13-19,21
3378,The Science of Reading in Action,Malia Hollowell,06-14-23,15
3379,What Great Principals Do Differently,Todd Whitaker,01-29-19,14
3380,Reference Book,Todd Reeves,06-16-23,7
3381,Learn Spanish with Paul Noble for Beginners – Complete Course,Paul Noble,03-31-16,17
3382,Prepared,Mike Glover,06-06-23,24
3383,CompTIA Security+ All-in-One Exam Guide Exam SY0-601 (Sixth Edition),Wm. Arthur Conklin,05-30-23,28
3384,The Spell of the Sensuous,David Abram,06-20-17,28
3385,Proust and the Squid,Maryanne Wolf,08-26-08,23
3386,Culturally Responsive Teaching and the Brain,Zaretta Hammond,03-30-23,19
3387,Grit,Angela Duckworth,05-03-16,15
3388,The Death of Expertise,Tom Nichols,05-23-17,27
3389,The Writing Revolution,Judith C. Hochman,07-10-18,21
3390,"Lies My Teacher Told Me, 2nd Edition",Dr. James Loewen,06-13-19,35
3391,The Book Whisperer,Donalyn Miller,02-20-12,21
3392,Art & Fear,David Bayles,04-23-12,14
3393,The Story of Human Language,John McWhorter,07-08-13,42
3394,Mathematical Mindsets,Jo Boaler,03-10-20,21
3395,Washington's Crossing,David Hackett Fischer,05-12-04,30
3396,Culturize,Jimmy Casas,06-30-18,14
3397,The Art of Coaching,Elena Aguilar,08-13-19,21
3398,The Science of Reading in Action,Malia Hollowell,06-14-23,15
3399,What Great Principals Do Differently,Todd Whitaker,01-29-19,14
3400,Reference Book,Todd Reeves,06-16-23,7
3401,Learn Spanish with Paul Noble for Beginners – Complete Course,Paul Noble,03-31-16,17
3402,Prepared,Mike Glover,06-06-23,24
3403,CompTIA Security+ All-in-One Exam Guide Exam SY0-601 (Sixth Edition),Wm. Arthur Conklin,05-30-23,28
3404,The Spell of the Sensuous,David Abram,06-20-17,28
3405,Proust and the Squid,Maryanne Wolf,08-26-08,23
3406,Culturally Responsive Teaching and the Brain,Zaretta Hammond,03-30-23,19
3407,Grit,Angela Duckworth,05-03-16,15
3408,The Death of Expertise,Tom Nichols,05-23-17,27
